,create_at,text,hashtag,retweet_count,favourite_count,user,geo,id
74,2023-08-25 13:38:07+00:00,"RT @js100radio: 🤔รู้ไหมว่าโรคทางจิตใจไม่ได้มีแค่ ""ซึมเศร้า"" โรค PTSD ก็เป็นอีกหนึ่งโรคที่เกิดขึ้นในผู้คนเยอะมากไม่ต่างกัน

ปัจจัยที่ทำให้เ…",,,,nat_tc,,376096054
75,2023-08-25 13:30:58+00:00,"RT @chewycloudbake: 🙏🏼ใครเห็นฝาก rt หน่อยนะคะ

พร้อมส่ง #ขนมโฮมเมด อร่อยจริง!🪄
รอบส่งภายใน 1-2 วัน #อร่อยบอกต่อ ต้องลอง!
🧈ใช้เนยแท้ 100% แล…",,,,xxjpk_,,224981640
76,2023-08-25 13:21:17+00:00,"ทำตัวเป็นมิตรและร่าเริง กลบเกลื่อนความกลัว หวาดกลัวหวาดวะแวง รู้สึกโดดเดี่ยวสุดขั้วหัวใจ 
ไม่เป็นไรนะ มันจะไม่เกิดขึ้นอีก เราเปลี่ยนแปลง เราคิดแบบใหม่
ความรู้สึกเดิม บรรยากาศเดิม การ flashback มันทำให้เรากลัว 
แต่เราต้องรู้วิธีถ่ายภาพ ถ่ายที่เดียวกัน รูปให้อารมณ์ต่างกัน #ซึมเศร้า",,,,pheuxn55536,,1686329920400842754
77,2023-08-25 12:49:36+00:00,"RT @js100radio: 🤔รู้ไหมว่าโรคทางจิตใจไม่ได้มีแค่ ""ซึมเศร้า"" โรค PTSD ก็เป็นอีกหนึ่งโรคที่เกิดขึ้นในผู้คนเยอะมากไม่ต่างกัน

ปัจจัยที่ทำให้เ…",,,,GATTOXXI,,378029799
78,2023-08-25 12:49:04+00:00,"เหนื่อยมั้ย กินยาวันละ8เม็ดเลยนะ เก่งมั้ย เหนื่อยจังเลยการมีชีวิตอยู่
#ซึมเศร้า https://t.co/uabHSJTMzP",,,,toey_1146,,1113781119747379200
79,2023-08-25 12:41:26+00:00,"RT @Manoy_c9: สัญญาณที่บ่งบอกว่าเราเครียดมากเกินไป
- เงียบใส่คนอื่นแบบไม่รู้ตัว
- สุขกับอะไรไม่สุด 
- แม้กระทั่งสิ่งที่เราชอบก็ฮีลเราไม่ได้…",,,,TonnamXitim,,1305867203825131521
80,2023-08-25 12:15:46+00:00,"RT @js100radio: 🤔รู้ไหมว่าโรคทางจิตใจไม่ได้มีแค่ ""ซึมเศร้า"" โรค PTSD ก็เป็นอีกหนึ่งโรคที่เกิดขึ้นในผู้คนเยอะมากไม่ต่างกัน

ปัจจัยที่ทำให้เ…",,,,mooshimaru,,826242768
81,2023-08-25 12:11:30+00:00,"RT @js100radio: 🤔รู้ไหมว่าโรคทางจิตใจไม่ได้มีแค่ ""ซึมเศร้า"" โรค PTSD ก็เป็นอีกหนึ่งโรคที่เกิดขึ้นในผู้คนเยอะมากไม่ต่างกัน

ปัจจัยที่ทำให้เ…",,,,iprincess_hrs,,206601085
82,2023-08-25 12:07:54+00:00,"RT @js100radio: 🤔รู้ไหมว่าโรคทางจิตใจไม่ได้มีแค่ ""ซึมเศร้า"" โรค PTSD ก็เป็นอีกหนึ่งโรคที่เกิดขึ้นในผู้คนเยอะมากไม่ต่างกัน

ปัจจัยที่ทำให้เ…",,,,Kkhanuengha,,1249026900430737410
83,2023-08-25 12:06:48+00:00,"RT @js100radio: 🤔รู้ไหมว่าโรคทางจิตใจไม่ได้มีแค่ ""ซึมเศร้า"" โรค PTSD ก็เป็นอีกหนึ่งโรคที่เกิดขึ้นในผู้คนเยอะมากไม่ต่างกัน

ปัจจัยที่ทำให้เ…",,,,lovell_seasons,,4906554133
